threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,,
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,,
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,,
2.65,0.31389365,0.6356,0.895565928,0.307,0.4572535,0.0358,,,,,,,,,
2.66,0.31046313,0.6348,0.898816568,0.3038,0.454110613,0.0342,,,,,,,,,
2.67,0.3070326,0.6339,0.901619676,0.3006,0.450877456,0.0328,,,,,,,,,
2.68,0.30360207,0.633,0.901085645,0.2988,0.448783418,0.0328,,,,,,,,,
2.69,0.29845625,0.6321,0.901519757,0.2966,0.44635064,0.0324,,,,,,,,,
2.7,0.28987992,0.6297,0.90105133,0.2914,0.440380837,0.032,,,,,,,,,
2.71,0.28987992,0.6281,0.901567398,0.2876,0.436087945,0.0314,,,,,,,,,
2.72,0.28987992,0.6273,0.903614458,0.285,0.433328265,0.0304,,,,,,,,,
2.73,0.28301886,0.6265,0.905188981,0.2826,0.430727023,0.0296,,,,,,,,,
2.74,0.28301886,0.6265,0.90885585,0.2812,0.429509699,0.0282,,,,,,,,,
2.75,0.28301886,0.6252,0.911842105,0.2772,0.425153374,0.0268,,,,,,,,,
2.76,0.27787307,0.6237,0.912058628,0.2738,0.421165974,0.0264,,,,,,,,,
2.77,0.27272728,0.6231,0.912810195,0.2722,0.419349869,0.026,,,,,,,,,
2.78,0.26758146,0.6221,0.912778905,0.27,0.416730977,0.0258,,,,,,,,,
2.79,0.26758146,0.6207,0.911945392,0.2672,0.413302398,0.0258,,,,,,,,,
2.8,0.25214407,0.619,0.910911602,0.2638,0.409119107,0.0258,,,,,,,,,
2.81,0.24528302,0.6172,0.910364146,0.26,0.404480398,0.0256,,,,,,,,,
2.82,0.24356775,0.6156,0.909348442,0.2568,0.400499064,0.0256,,,,,,,,,
2.83,0.23670669,0.6142,0.909025788,0.2538,0.396810507,0.0254,,,,,,,,,
2.84,0.22984563,0.6121,0.908230153,0.2494,0.391338459,0.0252,,,,,,,,,
2.85,0.22469983,0.6117,0.912786401,0.247,0.388792696,0.0236,,,,,,,,,
2.86,0.2212693,0.6109,0.91473448,0.2446,0.38598706,0.0228,,,,,,,,,
